product_name,family_name,family_code
Sony PlayStation 5, Game Consoles,52161514
 Bosch Dishwasher, Home appliances,52141513
 Apple-iPhone 12, Mobile phones,43191501
 Boeing 747, Aircraft,25131705
Apple iPhone 11, Communication Devices,43191500
 John Deere 6120M Tractor, Heavy Machinery,24101500
 Samsung 75-Inch 4K Ultra HD Smart TV, Electronic Components,45111600
 Prada Women's Leather Shoulder Bag, Clothing Accessories,53121600
Samsung Galaxy S21 Ultra, Communication Devices,43000000
 Bridgestone Turanza T005 Tire, Tires and Tire Tubes,25172500
 Motorola SCOUTTRAINER50 Advanced Remote Training System with Vibration and Static Simulation, Animal Training Equipment,10121700
 Sony KD-55XG8096 4K Ultra HD Smart TV, Televisions,52161500
Apple iPhone 12, Telecommunication devices,43211500
 Bosch Dishwasher, Domestic appliances,52141500
  Thermos Flask, Foodservice and kitchen equipment,48101500
 Nike Running Shoes, Footwear,53111500
Apple iPhone 12, Telecommunications devices and Accessories,43190000
 Bridgestone Potenza RE050A , Vehicle tires,25172500
 BLACK+DECKER Cordless Drill, Power tools,27111500
 Gucci Bloom Perfume, Fragrances and Aromatics,53131600
Sony WH-1000XM3 Headphones, Telecommunications media services,83112200
 Apple MacBook Pro, Computer Equipment and Accessories,43211500
 Canon EOS 5D Mark IV DSLR Camera, Photographic or filming or video equipment,45121500
 Cross Century II Rollerball Pen, Stationery,44121500
Samsung Galaxy S21, Communication devices,43191500
 John Deere 1025R Compact Tractor, Agricultural machinery,21101700
 Bosch Hammer Drill, Tools and General Machinery,27110000
 Dell Inspiron Laptop, Computer Equipment and Accessories,43211500
Running Shoes, Athletic & Outdoor Clothing,531216
 Kitchen Knife, Cutlery,521015
 Desktop Computer, Computer Equipment and Accessories,432115
 Adult Bike, Recreational Equipment,491015
Mountain Bike, Bicycles,50231500
 White Flour, Bakery and cereal products,50101700
 Acoustic Guitar, String instruments,60121300
 Compact Refrigerator, Domestic refrigerators and freezers,52141500
Toy Car, Toys and Games,60141000
 Organic Olive Oil, Edible Oils and Fats,50151500
 Bedroom Wardrobe, Domestic Furniture,56101500
 Solar Panels, Electrical Energy Generation,83101800
Digital Camera, Photographic Equipment,45121504
 Road Bicycle, Bicycles and Tricycles,49161500
 Stainless Steel Cookware Set, Cookware,52150000
 Rechargeable Drill, Power Drills,27112700
Compact Refrigerator, Refrigeration equipment,41103000
 Portable Air Compressor, Air compressors,40140000
 Hammer Drill, Drilling tools,27112800
 All-Purpose Flour, Food and Beverage Production,50180000
 Pregnancy Test Kit, Diagnostic applications,41116200
Cotton T-Shirt, Clothing,53100000
 Circular Saw, Construction Materials,27110000
 Disposable Syringe, Medical Equipment and Supplies,42140000
 Organic Fertilizer, Agricultural and Farming Products,10170000
Football, Athletic Equipment,49240000
 Leather Sofa, Domestic Furniture,56101500
 Canned Tuna, Canned or Jarred Fish,50121501
 Electric Drill, Power Tools,27112700
Bluetooth Speaker, Audio and Visual Equipment,52161500
 Turkey Breast, Poultry and Poultry Products,50191702
 Running Shoes, Athletic and Recreational Apparel,53103304
 Rose Bouquet, Fresh Cut Flowers,10161502
Walking Shoes, Footwear,53101800
 French Door Refrigerator, Home appliances,52141500
 Trench coat, Outerwear,53102900
 Smartphone, Telecommunication Devices,43191600
Football Cleats, Athletic & Recreational Footwear,53111901
 Printer Ink Cartridge, Stationery Supplies,44103100
 Grand Piano, Musical Instruments & Games & Toys,60101702
 Almond Milk, Non-Alcoholic Beverages,50202001
Spinach, Fresh fruits and vegetables,50150000
 Electric Drill, Power tools,27112700
 Office Desk, Office furniture,56101700
 Motorcycle Helmet, Personal safety and protection,46181700
Potting Soil, Soil and Soil Amendment,10191504
 LED Light Bulb, Lighting Fixtures and Accessories,39101600
 Leather Jacket, Outerwear,53101800
 Cryogenic Refrigerator, Laboratory and scientific equipment,41104400
Running Shoes, Athletic & Outdoor Shoes,53110000
 Digital Camera, Photographic Equipment,45120000
 Red Wine, Alcoholic Beverages,50200000
 Laptop, Portable Computers,43211503
"""Facial Moisturizer"""," ""Skin Care""",5313
" ""Mountain Bicycle"""," ""Bicycles and accessories""",5021
" ""Hardcover Book"""," ""Books and manuals""",5511
" ""Fresh Tomatoes"""," ""Fresh fruits vegetables and nuts""",5023
Refrigerator, Domestic Kitchen Appliances,52141502
 Table Lamp, Indoor Lighting,39111516
 Canning Jars, Containers and Storage,60121003
 Silk Fabric, Raw Materials and Natural Resources,11161802
Rice Cooker, Kitchen appliances,52141500
 Children's Picture Book, Printed materials,55111500
 Mountain Bike, Outdoor adventure equipment,49101500
 Chandelier, Lighting Fixtures and Accessories,39111500
 Stainless Steel Cookware Set, Cookware,52151700
"""Refrigerator"""," ""Household Refrigerators""",52141501
" ""Bicycle Helmet"""," ""Athletic and Outdoor Equipment""",49141601
" ""Fishing Rod"""," ""Fishing Equipment""",49141501
" ""Dining Chair"""," ""Hospitality Furniture""",56101503
Football Jersey, Clothing,531000
 Red Sailboat, Ships and boats,251118
 Zirconium Oxide Ceramic Valve, Valves,401416
 Heavy Duty Diesel Engine, Engines and Components,232417
Bike Helmet, Personal Safety and Protection,46181700
 Brown Bread, Bakery Products,50180000
 Custom Calendar, Office and Desk Accessories,44111500
 LED Ceiling Light, Lighting Fixtures and Accessories,39111500
Sneakers, Athletic Apparel,53101802
 Fresh Salmon, Fish & Seafood,50151602
 Office Desk, Office Furniture,56101706
 Chardonnay Wine, Alcoholic Beverages,50202202
Hiking boots, Footwear,53101800
 LED TV, Televisions,52161500
 Air Conditioner, Air conditioners,40101700
 Chocolate Bar, Confectionery products,50151600
Greenhouse Plastic, Building and Construction and Maintenance Services,72100000
 Almond Butter, Food and Beverage Products,50000000
 Mountain Bike, Transportation and Storage and Mail Services,78000000
 Linen Duvet Cover, Apparel and Luggage and Personal Care Products,53000000
"""Chocolate Chip Cookies"""," ""Bakery products""",50101502
" ""Convertible Dress"""," ""Womens dresses""",53121601
" ""Table Fan"""," ""Fans""",40101602
" ""Hard Wood Flooring"""," ""Building and Construction and Maintenance Services""",72000000
" ""Baseball Balls"""," ""Sporting Goods or Athletic Equipment""",49151500
Screwdriver Set, Hand Tools,27110000
 Red Wine, Alcoholic Beverages,50202202
 LED Light Bulb, Lamps and Lightbulbs,39101600
 Running Shoes, Footwear,53110000
"Apples Red Delicious"""," ""Fruit and Nut Products""",50151502
" ""Photovoltaic Solar Panels"""," ""Power Generation""",26111600
" ""Stainless Steel Fork"""," ""Cutlery""",52121503
" ""Leather Sofa"""," ""Seating""",56101504
Professional Baseball Bat, Athletic & Outdoor Equipment,4915
 Midnight Black Lipstick, Beauty Products,5310
 Eco-Friendly Bed Frame, Furniture,5610
 Handcrafted Pottery Vase, Decorative Craftsmanship,5214
 Essential Kitchen Knife Set, Cutlery,5215
Digital Camera, Photographic Equipment,45121504
 Children's Story Book, Printed Publications,55101508
 Racing Bicycle, Bicycles and Accessories,49101501
 Vegetable Seeds, Seeds and Bulbs and Seedlings and Cuttings,10152000
Electric Guitar, Musical Instruments,60131506
 French Roast Coffee, Beverages,50201700
 Greenhouse Kit, Building and Construction and Maintenance Services,72100000
 Designer Perfume, Personal Care Products,53131600
Organic Coffee Beans, Coffee,50161602
 Garden Rake, Gardening and forestry tools and equipment ,10151500
 Angled Mascara Brush, Makeup products,53131600
 Mountain Hiking Boots, Outdoor adventure equipment,49121500
Hiking Boots, Footwear,5311
 Decorative Indoor Plant, Live plants and floriculture,1015
 Wooden Writing Desk, Furniture,5611
 Olive Oil, Cooking and baking ingredients,5019
 Children's Picture Book, Books and brochures,5512
Chocolates, Confectionary Products,50161500
 Office Chair, Furniture,56101500
 Soccer Ball, Sports Equipment,49241500
 Laptop, Computer Equipment,43211500
Men's Running Shoes, Athletic & Outdoor Shoes,531119
 LED Bulbs, Lamps and Light Bulbs,391016
 Cappuccino Machine, Beverage Preparation Appliances,521415
 Organic Fertilizer, Fertilizers and plant nutrients and herbicides,101700
Football Cleats, Athletic & Sport Footwear,53111901
 Pocket Diary, Office supplies,44111507
 Electric Oven, Domestic kitchen appliances,52141501
 Argan Oil, Personal care products,53131626
Bicycle Helmet, Personal safety and protection,46181704
 Red Wine, Beverages,50202204
 Dining Table, Furniture,56101504
 Laptop Computer, Notebook and laptop computers,43211503
Octagonal Dining Table, Furniture,561015
 LED Television, Television and radio broadcasting,551015
 Shiatsu Massage Chair, Medical Furniture,421922
 Hardcover Novel, Printed publications,551115
Running Shoes, Athletic & Sporting Goods,49191600
 Refrigerator, Household Appliances,52141500
 Coffee Table, Furniture,56101700
 Fish Food, Pet Supplies,10101500
 Asphalt Shingle, Building Materials,30151500
Cooking Oil, Edible Oils and Fats,50191602
 Hard Disk, Computer Data Storage,43201803
 Running Shoes, Athletic and outdoor clothing,53121604
 Hydraulic Excavator, Heavy machinery,51201502
Running Shoes, Athletic & Outdoor Clothing,53100000
 Leather Sofa, Furniture,56120000
 Organic Fertilizer, Crop Production & Farming Supplies,10150000
 Electric Toothbrush, Personal Care Products,53130000
Chewing Gum, Confectionery Products,50151600
 Beach Ball, Toys and Games,60141802
 Laptop Computer, Data Voice or Multimedia Network Equipment or Platforms and Accessories,43222600
 Bike Pedals, Cycling Accessories,50201802
Roasted peanuts, Nuts and seeds,50191700
 Compact fluorescent lamp, Lamp components and accessories,39101611
 Tennis racket, Athletic and recreational sports equipment,49200000
 Synthetic motor oil, Lubricating preparations,15121500
Running Shoes, Athletic & Outdoor Shoes,531119
 Chandelier, Interior Lighting,391115
 Organic Almonds, Nuts & Seeds,501519
 Hydraulic Cylinder, Hydraulic Machinery,271126
Ceramic Coffee Mug, Drinkware,52152001
 Titanium Spork, Dining Cutlery,52121518
 Vintage Nightstand, Bedroom Furniture,56101605
 Solar Panel, Power Generation,27111700
Mountain Bike, Bicycles and Tricycles,46161500
 Typewriter Ribbon, Printer and Facsimile and Photocopier Supplies,44103100
 Organic Fertilizer, Farming and Fishing and Forestry and Wildlife Machinery and Accessories,21000000
 Red Wine, Alcoholic beverages,50202203
Chandelier, Lighting Fixtures & Accessories,391115
 Running Shoes, Athletic & Outdoor Clothing,531018
 Red Wine, Alcoholic Beverages,502022
 Printer Toner, Printer Consumables,441031
Electric Drill, Power Tools,2711
 Merlot Wine, Alcoholic Beverages,5020
 Dining Table, Furniture,5610
 Compact Discs, Recorded Media,5216
 Broccoli Seeds, Agricultural farming products,1015
Wireless Router, Telecommunications Equipment,43223100
 Leather Sofa, Furniture and Furnishings,56101800
 Running Shoes, Athletic and Recreational Apparel,53111500
 Mountain Bike, Recreational Vehicles,25131700
Tire Pressure Monitoring System, Automotive Systems and Components,25171505
 Cupcake Mix, Consumer Packaged Goods,50101716
 Solar Water Heater, Renewable Energy Equipment,40101804
 Lawn Mower, Landscaping and Agricultural Equipment,21101703
Red Wine, Alcoholic Beverages,50202200
 Mountain Bicycle, Outdoor Recreation,49240000
 Office Desk, Office Furniture,56101700
 Compact Fluorescent Lamp, Lamps and Lightbulbs,39101600
Rechargeable batteries, Accumulator,26111733
 Oak Dining table, Residential Furniture,56101705
 Organic Green Tea, Beverage Plants,10121704
 Handheld Microscope, Laboratory and scientific equipment,41121703
Electric Blender, Domestic Kitchen Appliances,52141500
 LED Light Bulb, Lighting Fixtures and Accessories,39111500
 12 Volt Power Drill, Portable Power Tools,27112700
 Treadmill, Exercise and Fitness Equipment,49230000
Portable Air Conditioner, Air Conditioning,40101700
 Racing Mountain Bike, Bicycles,25181700
 Wooden Office Desk, Office furniture,56101700
