index,url,product_name,predicted_family_name,predicted_family_code
0,https://capecodcandy.co/products/peach-gummies,Peach Gummies, Food and Beverage Products,53131600
1,https://www.expertonlux.com/en/16-plafoniera?SubmitCurrency=1&id_currency=2,16 Plafoniera,Numismatic Coin Collectibles,60120000
2,https://www.uds.sk/contact/,,Numismatic Coin Collectibles,-1
3,https://agaplex.com/product/trappes-avec-cadre-type-ltr-c250-d400/,,Numismatic Coin Collectibles,-1
4,https://amitypacking.com/pork/ground-pork-retail.html,Ground Pork Retail, Food and Beverage Products,50000000
5,https://bomagroupshop.com/products/%E9%9F%93%E5%9C%8B-Miffy-%E9%A4%90%E5%85%B7%E5%A5%97%E8%A3%9D%E9%80%A3%E6%94%B6%E7%B4%8D%E8%A2%8B.html,韓國 Miffy 餐具套裝連收納袋, Jewelry,50000000
6,https://www.h2x-ecosystems.com/category/articles-de-presse,Articles De Presse, Books,551015
7,https://www.doublepickups.com/xo-magnetic-condenser-mic-systems?itemId=vuw4620lsxphgoffc2rmn5opvdxn18-rbf3g,Xo Magnetic Condenser Mic Systems, Laboratory and Measuring and Observing and Testing Equipment,41110000
8,https://amitypacking.com/company-overview.html,Company Overview,Numismatic Coin Collectibles,-1
9,https://www.peugeot-brunei.com/electric-and-hybrid.html,Electric And Hybrid, Bicycles,25172500
10,https://lippen-balsam.de/english/About-us/index.html,,Numismatic Coin Collectibles,-1
11,https://touchsmart.gr/en/info-kiosk-for-jumbo-bulgaria-romania/attachment/info-kiosk-equipped-jumbo-5-4/,,Numismatic Coin Collectibles,-1
12,https://www.speedprint.pl/produkty/pokaz/winietki_boho,Winietki_Boho, Toys and Games,60140000
13,https://www.ryokeninstinct.com/collections/ruku-bars/products/ruku-bar-bison,Ruku Bar Bison, Seeds and Bulbs and Seedlings and Cuttings,101015
14,https://locozapoco.com/product-tag/100/,,Numismatic Coin Collectibles,-1
15,https://minnapalmqvist.shop/collections/coming-soon/products/two-slit-zip-skirt-dark-navy,Two Slit Zip Skirt Dark Navy, Clothing,53100000
16,https://arrozgelvez.com/gelvezconsienteapapa/,,Numismatic Coin Collectibles,-1
17,https://www.termotexsa.com/proyectos/galeras/,,Numismatic Coin Collectibles,-1
18,https://heritagesurfaces.com/color-story/brick/,,Numismatic Coin Collectibles,-1
19,https://wallcoverings.co.za/portfolio/corporate/,,Numismatic Coin Collectibles,-1
20,https://ukrop.tech/en/plastic-processing-as-a-business-solution/?replytocom=51,,Numismatic Coin Collectibles,-1
21,https://hushcitysp.com/services/residential-services/,,Numismatic Coin Collectibles,-1
22,https://www.saraijiest.com/products/shawerma-equipment/shawarma-grill-5-burners/,,Numismatic Coin Collectibles,-1
23,https://oglinzi.biz/product/mercury-l99/,,Numismatic Coin Collectibles,-1
24,https://www.swagcasuals.com/designer/customize/215375218?dp=2,Customize,Numismatic Coin Collectibles,-1
25,https://noxudol.com.ua/product/noxudol-300-aerozol-0-5l/,,Numismatic Coin Collectibles,-1
26,https://www.specialfoods.fi/tuotteet/timbaalit/kalalihajabroileritimbaalit/annostimbaali-broileri-n-63x40g,Annostimbaali Broileri N 63X40G, Fertilizers and plant nutrients and herbicides,41110000
27,https://viko-bg.com/en/product/hydraulic-filters/,,Numismatic Coin Collectibles,-1
28,https://www.freeplant.net/grains/amaranth/,,Numismatic Coin Collectibles,-1
29,https://maxx-solar.de/solarcarport-ladesaeule-elektroauto/solarcarport-mit-ladestation/,,Numismatic Coin Collectibles,-1
30,https://www.vinpro.cz/vinpro_2/eshop/4-1-Cru-udoli-Rhony/0/5/125-Lirac-Bel-Canto-rouge-Magnum-2016?tab=description,125 Lirac Bel Canto Rouge Magnum 2016, Personal safety and protection,502022
31,http://avantiswines.gr/el/privacy-policy,Privacy Policy,Numismatic Coin Collectibles,-1
32,https://www.orion-plasma.com/production/interaktivnye-doski/orion-olsk-5540ll.html,Orion Olsk 5540Ll, Toys and Games,41110000
